"","DtCaseOrDeathOrTest","Jurisdiction","MPctPos7Naat"
"9408",2021-05-18,"CHAMBERS","13.4%"
"9409",2021-05-19,"CHAMBERS","13.5%"
"9410",2021-05-20,"CHAMBERS","12%"
"9411",2021-05-21,"CHAMBERS","9.2%"
"9412",2021-05-22,"CHAMBERS","9.1%"
"9413",2021-05-23,"CHAMBERS","9.3%"
"9414",2021-05-24,"CHAMBERS","9.5%"
"9415",2021-05-25,"CHAMBERS","8.5%"
"9416",2021-05-26,"CHAMBERS","8.7%"
"9417",2021-05-27,"CHAMBERS","9.2%"
"9418",2021-05-28,"CHAMBERS","12.6%"
"9419",2021-05-29,"CHAMBERS","12.2%"
"9420",2021-05-30,"CHAMBERS","12.1%"
"9421",2021-05-31,"CHAMBERS","12.4%"
"9422",2021-06-01,"CHAMBERS","13.5%"
"9423",2021-06-02,"CHAMBERS","12.9%"
"9424",2021-06-03,"CHAMBERS","11.1%"
"9425",2021-06-04,"CHAMBERS","8.7%"
"9426",2021-06-05,"CHAMBERS","8.3%"
"9427",2021-06-06,"CHAMBERS","8.3%"
"9428",2021-06-07,"CHAMBERS","9.8%"
"9429",2021-06-08,"CHAMBERS","9.6%"
"9430",2021-06-09,"CHAMBERS","9.8%"
"9431",2021-06-10,"CHAMBERS","9.4%"
"9432",2021-06-11,"CHAMBERS","8.4%"
"9433",2021-06-12,"CHAMBERS","7.7%"
"9434",2021-06-13,"CHAMBERS","7.8%"
"9435",2021-06-14,"CHAMBERS","5.3%"
"9436",2021-06-15,"CHAMBERS","3.1%"
"9437",2021-06-16,"CHAMBERS","3.3%"
"9438",2021-06-17,"CHAMBERS","4.9%"
"9439",2021-06-18,"CHAMBERS","2.6%"
"9440",2021-06-19,"CHAMBERS","5%"
"9441",2021-06-20,"CHAMBERS","4.9%"
"9442",2021-06-21,"CHAMBERS","7%"
"9443",2021-06-22,"CHAMBERS","7.5%"
"9444",2021-06-23,"CHAMBERS","7.7%"
"9445",2021-06-24,"CHAMBERS","10.1%"
"9446",2021-06-25,"CHAMBERS","11.1%"
"9447",2021-06-26,"CHAMBERS","8.4%"
"9448",2021-06-27,"CHAMBERS","8.9%"
"9449",2021-06-28,"CHAMBERS","8%"
"9450",2021-06-29,"CHAMBERS","9.6%"
"9451",2021-06-30,"CHAMBERS","13.7%"
"9452",2021-07-01,"CHAMBERS","10.1%"
"9453",2021-07-02,"CHAMBERS","9.2%"
"9454",2021-07-03,"CHAMBERS","9.5%"
"9455",2021-07-04,"CHAMBERS","9.4%"
"9456",2021-07-05,"CHAMBERS","9.3%"
"9457",2021-07-06,"CHAMBERS","7.8%"
"9458",2021-07-07,"CHAMBERS","3.1%"
"9459",2021-07-08,"CHAMBERS","4.9%"
"9460",2021-07-09,"CHAMBERS","6.9%"
"9461",2021-07-10,"CHAMBERS","8.7%"
"9462",2021-07-11,"CHAMBERS","10%"
"9463",2021-07-12,"CHAMBERS","8.9%"
"9464",2021-07-13,"CHAMBERS","8.6%"
"9465",2021-07-14,"CHAMBERS","10.1%"
"9466",2021-07-15,"CHAMBERS","10%"
"9467",2021-07-16,"CHAMBERS","8.2%"
"9468",2021-07-17,"CHAMBERS","6.8%"
"9469",2021-07-18,"CHAMBERS","8.1%"
"9470",2021-07-19,"CHAMBERS","7.6%"
"9471",2021-07-20,"CHAMBERS","21.9%"
"9472",2021-07-21,"CHAMBERS","21.3%"
"9473",2021-07-22,"CHAMBERS","22.8%"
"9474",2021-07-23,"CHAMBERS","23.7%"
"9475",2021-07-24,"CHAMBERS","23.7%"
"9476",2021-07-25,"CHAMBERS","24%"
"9477",2021-07-26,"CHAMBERS","26%"
"9478",2021-07-27,"CHAMBERS","19.1%"
"9479",2021-07-28,"CHAMBERS","20.9%"
"9480",2021-07-29,"CHAMBERS","20.3%"
"9481",2021-07-30,"CHAMBERS","18.1%"
"9482",2021-07-31,"CHAMBERS","20.2%"
"9483",2021-08-01,"CHAMBERS","21.2%"
"9484",2021-08-02,"CHAMBERS","21.4%"
"9485",2021-08-03,"CHAMBERS","16.1%"
"9486",2021-08-04,"CHAMBERS","16.1%"
"9487",2021-08-05,"CHAMBERS","16.5%"
"9488",2021-08-06,"CHAMBERS","18.3%"
"9489",2021-08-07,"CHAMBERS","17.9%"
"9490",2021-08-08,"CHAMBERS","16.6%"
"9491",2021-08-09,"CHAMBERS","16.7%"
"9492",2021-08-10,"CHAMBERS","16.4%"
"9493",2021-08-11,"CHAMBERS","15.5%"
"9494",2021-08-12,"CHAMBERS","15.7%"
"9495",2021-08-13,"CHAMBERS","16.4%"
"9496",2021-08-14,"CHAMBERS","18%"
"9497",2021-08-15,"CHAMBERS","18.5%"
"9498",2021-08-16,"CHAMBERS","18.5%"
"9499",2021-08-17,"CHAMBERS","22.3%"
"9500",2021-08-18,"CHAMBERS","22.4%"
"9501",2021-08-19,"CHAMBERS","22.7%"
"9502",2021-08-20,"CHAMBERS","21.8%"
"9503",2021-08-21,"CHAMBERS","19.8%"
"9504",2021-08-22,"CHAMBERS","19%"
"9505",2021-08-23,"CHAMBERS","20.8%"
"9506",2021-08-24,"CHAMBERS","21.9%"
"9507",2021-08-25,"CHAMBERS","23.3%"
"9508",2021-08-26,"CHAMBERS","23.2%"
"9509",2021-08-27,"CHAMBERS","24.3%"
"9510",2021-08-28,"CHAMBERS","24%"
"9511",2021-08-29,"CHAMBERS","24.9%"
"9512",2021-08-30,"CHAMBERS","23.7%"
"9513",2021-08-31,"CHAMBERS","23.9%"
"9514",2021-09-01,"CHAMBERS","23.4%"
"9515",2021-09-02,"CHAMBERS","24%"
"9516",2021-09-03,"CHAMBERS","21.9%"
"9517",2021-09-04,"CHAMBERS","21.7%"
"9518",2021-09-05,"CHAMBERS","20.9%"
"9519",2021-09-06,"CHAMBERS","21.5%"
"9520",2021-09-07,"CHAMBERS","20.2%"
"9521",2021-09-08,"CHAMBERS","19%"
"9522",2021-09-09,"CHAMBERS","15.2%"
"9523",2021-09-10,"CHAMBERS","17.6%"
"9524",2021-09-11,"CHAMBERS","17.9%"
"9525",2021-09-12,"CHAMBERS","17.1%"
"9526",2021-09-13,"CHAMBERS","14.9%"
"9527",2021-09-14,"CHAMBERS","14.7%"
"9528",2021-09-15,"CHAMBERS","14.4%"
"9529",2021-09-16,"CHAMBERS","15.1%"
"9530",2021-09-17,"CHAMBERS","13.1%"
"9531",2021-09-18,"CHAMBERS","13.1%"
"9532",2021-09-19,"CHAMBERS","12.8%"
"9533",2021-09-20,"CHAMBERS","14.4%"
"9534",2021-09-21,"CHAMBERS","16%"
"9535",2021-09-22,"CHAMBERS","18.1%"
"9536",2021-09-23,"CHAMBERS","20.1%"
"9537",2021-09-24,"CHAMBERS","19%"
"9538",2021-09-25,"CHAMBERS","18.4%"
"9539",2021-09-26,"CHAMBERS","18.8%"
"9540",2021-09-27,"CHAMBERS","20%"
"9541",2021-09-28,"CHAMBERS","15.4%"
"9542",2021-09-29,"CHAMBERS","13%"
"9543",2021-09-30,"CHAMBERS","11.2%"
"9544",2021-10-01,"CHAMBERS","13.1%"
"9545",2021-10-02,"CHAMBERS","15.2%"
"9546",2021-10-03,"CHAMBERS","15.9%"
"9547",2021-10-04,"CHAMBERS","15.1%"
"9548",2021-10-05,"CHAMBERS","16.2%"
"9549",2021-10-06,"CHAMBERS","14.1%"
"9550",2021-10-07,"CHAMBERS","14.1%"
"9551",2021-10-08,"CHAMBERS","12.9%"
"9552",2021-10-09,"CHAMBERS","11.9%"
"9553",2021-10-10,"CHAMBERS","10.8%"
"9554",2021-10-11,"CHAMBERS","10.7%"
"9555",2021-10-12,"CHAMBERS","9.4%"
"9556",2021-10-13,"CHAMBERS","9.8%"
"9557",2021-10-14,"CHAMBERS","10.4%"
"9558",2021-10-15,"CHAMBERS","10.2%"
"9559",2021-10-16,"CHAMBERS","9.4%"
"9560",2021-10-17,"CHAMBERS","9.4%"
"9561",2021-10-18,"CHAMBERS","5.8%"
"9562",2021-10-19,"CHAMBERS","5.9%"
"9563",2021-10-20,"CHAMBERS","4.7%"
"9564",2021-10-21,"CHAMBERS","4.4%"
"9565",2021-10-22,"CHAMBERS","5.6%"
"9566",2021-10-23,"CHAMBERS","5.2%"
"9567",2021-10-24,"CHAMBERS","6.1%"
"9568",2021-10-25,"CHAMBERS","6.4%"
"9569",2021-10-26,"CHAMBERS","7.4%"
"9570",2021-10-27,"CHAMBERS","7.8%"
"9571",2021-10-28,"CHAMBERS","6.6%"
"9572",2021-10-29,"CHAMBERS","5.1%"
"9573",2021-10-30,"CHAMBERS","5.6%"
"9574",2021-10-31,"CHAMBERS","3.9%"
"9575",2021-11-01,"CHAMBERS","5.1%"
"9576",2021-11-02,"CHAMBERS","4.3%"
"9577",2021-11-03,"CHAMBERS","4.8%"
"9578",2021-11-04,"CHAMBERS","5.5%"
"9579",2021-11-05,"CHAMBERS","4.9%"
"9580",2021-11-06,"CHAMBERS","5.6%"
"9581",2021-11-07,"CHAMBERS","6.4%"
"9582",2021-11-08,"CHAMBERS","8%"
"9583",2021-11-09,"CHAMBERS","8.1%"
"9584",2021-11-10,"CHAMBERS","7.5%"
"9585",2021-11-11,"CHAMBERS","7.5%"
"9586",2021-11-12,"CHAMBERS","9%"
"9587",2021-11-13,"CHAMBERS","7.5%"
"9588",2021-11-14,"CHAMBERS","7.1%"
"9589",2021-11-15,"CHAMBERS","8.8%"
"9590",2021-11-16,"CHAMBERS","8.6%"
"9591",2021-11-17,"CHAMBERS","10.4%"
"9592",2021-11-18,"CHAMBERS","8.9%"
"9593",2021-11-19,"CHAMBERS","7.8%"
"9594",2021-11-20,"CHAMBERS","8.2%"
"9595",2021-11-21,"CHAMBERS","8.3%"
"9596",2021-11-22,"CHAMBERS","5.3%"
"9597",2021-11-23,"CHAMBERS","5.3%"
"9598",2021-11-24,"CHAMBERS","2.4%"
"9599",2021-11-25,"CHAMBERS","3.2%"
"9600",2021-11-26,"CHAMBERS","3.6%"
"9601",2021-11-27,"CHAMBERS","2.8%"
"9602",2021-11-28,"CHAMBERS","1.7%"
"9603",2021-11-29,"CHAMBERS","3.3%"
"9604",2021-11-30,"CHAMBERS","4.7%"
"9605",2021-12-01,"CHAMBERS","5.2%"
"9606",2021-12-02,"CHAMBERS","6.8%"
"9607",2021-12-03,"CHAMBERS","8.4%"
"9608",2021-12-04,"CHAMBERS","8.9%"
"9609",2021-12-05,"CHAMBERS","10.4%"
"9610",2021-12-06,"CHAMBERS","10.1%"
"9611",2021-12-07,"CHAMBERS","12.5%"
"9612",2021-12-08,"CHAMBERS","12.6%"
"9613",2021-12-09,"CHAMBERS","12.1%"
"9614",2021-12-10,"CHAMBERS","10.5%"
"9615",2021-12-11,"CHAMBERS","12.1%"
"9616",2021-12-12,"CHAMBERS","10.4%"
"9617",2021-12-13,"CHAMBERS","9.9%"
"9618",2021-12-14,"CHAMBERS","7.8%"
"9619",2021-12-15,"CHAMBERS","7.7%"
"9620",2021-12-16,"CHAMBERS","7.3%"
"9621",2021-12-17,"CHAMBERS","8.1%"
"9622",2021-12-18,"CHAMBERS","9.1%"
"9623",2021-12-19,"CHAMBERS","9.3%"
"9624",2021-12-20,"CHAMBERS","12.2%"
"9625",2021-12-21,"CHAMBERS","17.4%"
"9626",2021-12-22,"CHAMBERS","21.3%"
"9627",2021-12-23,"CHAMBERS","27.1%"
"9628",2021-12-24,"CHAMBERS","32.6%"
"9629",2021-12-25,"CHAMBERS","32.6%"
"9630",2021-12-26,"CHAMBERS","34%"
"9631",2021-12-27,"CHAMBERS","36.5%"
"9632",2021-12-28,"CHAMBERS","38.3%"
"9633",2021-12-29,"CHAMBERS","39.9%"
"9634",2021-12-30,"CHAMBERS","40%"
"9635",2021-12-31,"CHAMBERS","40.5%"
"9636",2022-01-01,"CHAMBERS","40.9%"
"9637",2022-01-02,"CHAMBERS","41.9%"
"9638",2022-01-03,"CHAMBERS","45%"
"9639",2022-01-04,"CHAMBERS","45.8%"
"9640",2022-01-05,"CHAMBERS","46.9%"
"9641",2022-01-06,"CHAMBERS","47%"
"9642",2022-01-07,"CHAMBERS","46.7%"
"9643",2022-01-08,"CHAMBERS","46.2%"
"9644",2022-01-09,"CHAMBERS","45.6%"
"9645",2022-01-10,"CHAMBERS","43.9%"
"9646",2022-01-11,"CHAMBERS","44.4%"
"9647",2022-01-12,"CHAMBERS","42.8%"
"9648",2022-01-13,"CHAMBERS","39.1%"
"9649",2022-01-14,"CHAMBERS","37.6%"
"9650",2022-01-15,"CHAMBERS","37.8%"
"9651",2022-01-16,"CHAMBERS","38%"
"9652",2022-01-17,"CHAMBERS","38.7%"
"9653",2022-01-18,"CHAMBERS","35.6%"
"9654",2022-01-19,"CHAMBERS","35.5%"
"9655",2022-01-20,"CHAMBERS","38.6%"
"9656",2022-01-21,"CHAMBERS","37.8%"
"9657",2022-01-22,"CHAMBERS","37.4%"
"9658",2022-01-23,"CHAMBERS","36.9%"
"9659",2022-01-24,"CHAMBERS","32.2%"
"9660",2022-01-25,"CHAMBERS","32.8%"
"9661",2022-01-26,"CHAMBERS","30.7%"
"9662",2022-01-27,"CHAMBERS","25.9%"
"9663",2022-01-28,"CHAMBERS","26.7%"
"9664",2022-01-29,"CHAMBERS","26%"
"9665",2022-01-30,"CHAMBERS","25.5%"
"9666",2022-01-31,"CHAMBERS","26.6%"
"9667",2022-02-01,"CHAMBERS","20%"
"9668",2022-02-02,"CHAMBERS","18.4%"
"9669",2022-02-03,"CHAMBERS","18.9%"
"9670",2022-02-04,"CHAMBERS","15.5%"
"9671",2022-02-05,"CHAMBERS","14.5%"
"9672",2022-02-06,"CHAMBERS","13.9%"
"9673",2022-02-07,"CHAMBERS","13.7%"
"9674",2022-02-08,"CHAMBERS","12%"
"9675",2022-02-09,"CHAMBERS","11.7%"
"9676",2022-02-10,"CHAMBERS","11.4%"
"9677",2022-02-11,"CHAMBERS","10.9%"
"9678",2022-02-12,"CHAMBERS","10%"
"9679",2022-02-13,"CHAMBERS","9.9%"
"9680",2022-02-14,"CHAMBERS","6.1%"
"9681",2022-02-15,"CHAMBERS","8.8%"
"9682",2022-02-16,"CHAMBERS","7.7%"
"9683",2022-02-17,"CHAMBERS","6.8%"
"9684",2022-02-18,"CHAMBERS","6.9%"
"9685",2022-02-19,"CHAMBERS","7.8%"
"9686",2022-02-20,"CHAMBERS","8.3%"
"9687",2022-02-21,"CHAMBERS","8%"
"9688",2022-02-22,"CHAMBERS","7.2%"
"9689",2022-02-23,"CHAMBERS","6%"
"9690",2022-02-24,"CHAMBERS","4.8%"
"9691",2022-02-25,"CHAMBERS","3.4%"
"9692",2022-02-26,"CHAMBERS","2.6%"
"9693",2022-02-27,"CHAMBERS","1.7%"
"9694",2022-02-28,"CHAMBERS","1.8%"
"9695",2022-03-01,"CHAMBERS","1.3%"
"9696",2022-03-02,"CHAMBERS","1.2%"
"9697",2022-03-03,"CHAMBERS","1.6%"
"9698",2022-03-04,"CHAMBERS","2.5%"
"9699",2022-03-05,"CHAMBERS","2.9%"
"9700",2022-03-06,"CHAMBERS","2.9%"
"9701",2022-03-07,"CHAMBERS","2.4%"
"9702",2022-03-08,"CHAMBERS","3.4%"
"9703",2022-03-09,"CHAMBERS","3.2%"
"9704",2022-03-10,"CHAMBERS","2.9%"
"9705",2022-03-11,"CHAMBERS","1.9%"
"9706",2022-03-12,"CHAMBERS","1.5%"
"9707",2022-03-13,"CHAMBERS","2%"
"9708",2022-03-14,"CHAMBERS","2.1%"
"9709",2022-03-15,"CHAMBERS","1%"
"9710",2022-03-16,"CHAMBERS","0.5%"
"9711",2022-03-17,"CHAMBERS","1.4%"
"9712",2022-03-18,"CHAMBERS","1.4%"
"9713",2022-03-19,"CHAMBERS","1.4%"
"9714",2022-03-20,"CHAMBERS","1%"
"9715",2022-03-21,"CHAMBERS","0.9%"
"9716",2022-03-22,"CHAMBERS","1.8%"
"9717",2022-03-23,"CHAMBERS","1.8%"
"9718",2022-03-24,"CHAMBERS","1%"
"9719",2022-03-25,"CHAMBERS","1%"
"9720",2022-03-26,"CHAMBERS","1%"
"9721",2022-03-27,"CHAMBERS","1%"
"9722",2022-03-28,"CHAMBERS","1%"
"9723",2022-03-29,"CHAMBERS","0.6%"
"9724",2022-03-30,"CHAMBERS","2.1%"
"9725",2022-03-31,"CHAMBERS","2.2%"
"9726",2022-04-01,"CHAMBERS","2%"
"9727",2022-04-02,"CHAMBERS","2.2%"
"9728",2022-04-03,"CHAMBERS","2.2%"
"9729",2022-04-04,"CHAMBERS","2.2%"
"9730",2022-04-05,"CHAMBERS","1.1%"
"9731",2022-04-06,"CHAMBERS","0%"
"9732",2022-04-07,"CHAMBERS","1%"
"9733",2022-04-08,"CHAMBERS","1%"
"9734",2022-04-09,"CHAMBERS","0.9%"
"9735",2022-04-10,"CHAMBERS","1%"
"9736",2022-04-11,"CHAMBERS","1.1%"
"9737",2022-04-12,"CHAMBERS","1%"
"9738",2022-04-13,"CHAMBERS","0.5%"
"9739",2022-04-14,"CHAMBERS","0%"
"9740",2022-04-15,"CHAMBERS","0%"
"9741",2022-04-16,"CHAMBERS","0%"
"9742",2022-04-17,"CHAMBERS","0%"
"9743",2022-04-18,"CHAMBERS","0%"
"9744",2022-04-19,"CHAMBERS","0%"
"9745",2022-04-20,"CHAMBERS","0%"
"9746",2022-04-21,"CHAMBERS","0%"
"9747",2022-04-22,"CHAMBERS","0%"
"9748",2022-04-23,"CHAMBERS","0%"
"9749",2022-04-24,"CHAMBERS","0%"
"9750",2022-04-25,"CHAMBERS","0.6%"
"9751",2022-04-26,"CHAMBERS","1.2%"
"9752",2022-04-27,"CHAMBERS","1.7%"
"9753",2022-04-28,"CHAMBERS","1.7%"
"9754",2022-04-29,"CHAMBERS","2.2%"
"9755",2022-04-30,"CHAMBERS","2.2%"
"9756",2022-05-01,"CHAMBERS","2.3%"
"9757",2022-05-02,"CHAMBERS","1.7%"
"9758",2022-05-03,"CHAMBERS","1.1%"
"9759",2022-05-04,"CHAMBERS","1%"
"9760",2022-05-05,"CHAMBERS","1.5%"
"9761",2022-05-06,"CHAMBERS","2.1%"
"9762",2022-05-07,"CHAMBERS","2.1%"
"9763",2022-05-08,"CHAMBERS","2.6%"
"9764",2022-05-09,"CHAMBERS","3.6%"
"9765",2022-05-10,"CHAMBERS","4.2%"
"9766",2022-05-11,"CHAMBERS","4.1%"
"9767",2022-05-12,"CHAMBERS","4.3%"
"9768",2022-05-13,"CHAMBERS","3.9%"
"9769",2022-05-14,"CHAMBERS","4%"
"9770",2022-05-15,"CHAMBERS","3.5%"
"9771",2022-05-16,"CHAMBERS","3%"
"9772",2022-05-17,"CHAMBERS","2.6%"
"9773",2022-05-18,"CHAMBERS","2.7%"
"9774",2022-05-19,"CHAMBERS","2.3%"
"9775",2022-05-20,"CHAMBERS","2.3%"
"9776",2022-05-21,"CHAMBERS","3.3%"
"9777",2022-05-22,"CHAMBERS","3.3%"
"9778",2022-05-23,"CHAMBERS","3.1%"
"9779",2022-05-24,"CHAMBERS","3.6%"
"9780",2022-05-25,"CHAMBERS","6.9%"
"9781",2022-05-26,"CHAMBERS","6.9%"
"9782",2022-05-27,"CHAMBERS","7.3%"
"9783",2022-05-28,"CHAMBERS","8.3%"
"9784",2022-05-29,"CHAMBERS","10.4%"
"9785",2022-05-30,"CHAMBERS","13.6%"
"9786",2022-05-31,"CHAMBERS","15.5%"
"9787",2022-06-01,"CHAMBERS","15.8%"
"9788",2022-06-02,"CHAMBERS","14.9%"
"9789",2022-06-03,"CHAMBERS","15.1%"
"9790",2022-06-04,"CHAMBERS","12.2%"
"9791",2022-06-05,"CHAMBERS","9.7%"
"9792",2022-06-06,"CHAMBERS","9.1%"
"9793",2022-06-07,"CHAMBERS","8.7%"
"9794",2022-06-08,"CHAMBERS","8.9%"
"9795",2022-06-09,"CHAMBERS","10.6%"
"9796",2022-06-10,"CHAMBERS","10.2%"
"9797",2022-06-11,"CHAMBERS","11.4%"
"9798",2022-06-12,"CHAMBERS","10.6%"
"9799",2022-06-13,"CHAMBERS","11.9%"
"9800",2022-06-14,"CHAMBERS","12.1%"
"9801",2022-06-15,"CHAMBERS","13.2%"
"9802",2022-06-16,"CHAMBERS","12.3%"
"9803",2022-06-17,"CHAMBERS","12.9%"
"9804",2022-06-18,"CHAMBERS","12.7%"
"9805",2022-06-19,"CHAMBERS","14.5%"
"9806",2022-06-20,"CHAMBERS","16.3%"
"9807",2022-06-21,"CHAMBERS","13.9%"
"9808",2022-06-22,"CHAMBERS","16.3%"
"9809",2022-06-23,"CHAMBERS","17.3%"
"9810",2022-06-24,"CHAMBERS","17.8%"
"9811",2022-06-25,"CHAMBERS","20.7%"
"9812",2022-06-26,"CHAMBERS","21.7%"
"9813",2022-06-27,"CHAMBERS","23.3%"
"9814",2022-06-28,"CHAMBERS","28%"
"9815",2022-06-29,"CHAMBERS","29%"
"9816",2022-06-30,"CHAMBERS","30.7%"
"9817",2022-07-01,"CHAMBERS","30.9%"
"9818",2022-07-02,"CHAMBERS","31.6%"
"9819",2022-07-03,"CHAMBERS","32.4%"
"9820",2022-07-04,"CHAMBERS","31.9%"
"9821",2022-07-05,"CHAMBERS","25.3%"
"9822",2022-07-06,"CHAMBERS","26.5%"
"9823",2022-07-07,"CHAMBERS","24.2%"
"9824",2022-07-08,"CHAMBERS","24.4%"
"9825",2022-07-09,"CHAMBERS","22.9%"
"9826",2022-07-10,"CHAMBERS","23.2%"
"9827",2022-07-11,"CHAMBERS","24.6%"
"9828",2022-07-12,"CHAMBERS","28.6%"
"9829",2022-07-13,"CHAMBERS","27.6%"
"9830",2022-07-14,"CHAMBERS","30.2%"
"9831",2022-07-15,"CHAMBERS","30.8%"
"9832",2022-07-16,"CHAMBERS","32.2%"
"9833",2022-07-17,"CHAMBERS","31.4%"
"9834",2022-07-18,"CHAMBERS","31.3%"
"9835",2022-07-19,"CHAMBERS","30.6%"
"9836",2022-07-20,"CHAMBERS","28.2%"
"9837",2022-07-21,"CHAMBERS","27.2%"
"9838",2022-07-22,"CHAMBERS","28%"
"9839",2022-07-23,"CHAMBERS","28.5%"
"9840",2022-07-24,"CHAMBERS","29.4%"
"9841",2022-07-25,"CHAMBERS","31.3%"
"9842",2022-07-26,"CHAMBERS","28.3%"
"9843",2022-07-27,"CHAMBERS","29.1%"
"9844",2022-07-28,"CHAMBERS","26.4%"
"9845",2022-07-29,"CHAMBERS","25%"
"9846",2022-07-30,"CHAMBERS","24.9%"
"9847",2022-07-31,"CHAMBERS","23.6%"
"9848",2022-08-01,"CHAMBERS","19.7%"
"9849",2022-08-02,"CHAMBERS","23%"
"9850",2022-08-03,"CHAMBERS","23.5%"
"9851",2022-08-04,"CHAMBERS","26.2%"
"9852",2022-08-05,"CHAMBERS","28.5%"
"9853",2022-08-06,"CHAMBERS","26.2%"
"9854",2022-08-07,"CHAMBERS","25.4%"
"9855",2022-08-08,"CHAMBERS","25.4%"
"9856",2022-08-09,"CHAMBERS","21.7%"
"9857",2022-08-10,"CHAMBERS","21.5%"
"9858",2022-08-11,"CHAMBERS","21.1%"
"9859",2022-08-12,"CHAMBERS","21.3%"
"9860",2022-08-13,"CHAMBERS","22.3%"
"9861",2022-08-14,"CHAMBERS","25.3%"
"9862",2022-08-15,"CHAMBERS","26.1%"
"9863",2022-08-16,"CHAMBERS","27.7%"
"9864",2022-08-17,"CHAMBERS","27.4%"
"9865",2022-08-18,"CHAMBERS","28.2%"
"9866",2022-08-19,"CHAMBERS","27.4%"
"9867",2022-08-20,"CHAMBERS","27%"
"9868",2022-08-21,"CHAMBERS","25%"
"9869",2022-08-22,"CHAMBERS","24.4%"
"9870",2022-08-23,"CHAMBERS","25.1%"
"9871",2022-08-24,"CHAMBERS","16.2%"
"9872",2022-08-25,"CHAMBERS","14.1%"
"9873",2022-08-26,"CHAMBERS","13.3%"
"9874",2022-08-27,"CHAMBERS","13%"
"9875",2022-08-28,"CHAMBERS","13.6%"
"9876",2022-08-29,"CHAMBERS","13.4%"
"9877",2022-08-30,"CHAMBERS","11.2%"
"9878",2022-08-31,"CHAMBERS","10%"
"9879",2022-09-01,"CHAMBERS","10.1%"
"9880",2022-09-02,"CHAMBERS","11.2%"
"9881",2022-09-03,"CHAMBERS","10.7%"
"9882",2022-09-04,"CHAMBERS","9.6%"
"9883",2022-09-05,"CHAMBERS","9.8%"
"9884",2022-09-06,"CHAMBERS","9.5%"
"9885",2022-09-07,"CHAMBERS","7.4%"
"9886",2022-09-08,"CHAMBERS","8.3%"
"9887",2022-09-09,"CHAMBERS","6.1%"
"9888",2022-09-10,"CHAMBERS","6%"
"9889",2022-09-11,"CHAMBERS","5.4%"
"9890",2022-09-12,"CHAMBERS","3.6%"
"9891",2022-09-13,"CHAMBERS","3.7%"
"9892",2022-09-14,"CHAMBERS","3.5%"
"9893",2022-09-15,"CHAMBERS","2%"
"9894",2022-09-16,"CHAMBERS","2.1%"
"9895",2022-09-17,"CHAMBERS","1.7%"
"9896",2022-09-18,"CHAMBERS","1.8%"
"9897",2022-09-19,"CHAMBERS","1.7%"
"9898",2022-09-20,"CHAMBERS","1.3%"
"9899",2022-09-21,"CHAMBERS","1.7%"
"9900",2022-09-22,"CHAMBERS","1.3%"
"9901",2022-09-23,"CHAMBERS","1.7%"
"9902",2022-09-24,"CHAMBERS","1.7%"
"9903",2022-09-25,"CHAMBERS","1.7%"
"9904",2022-09-26,"CHAMBERS","1.3%"
"9905",2022-09-27,"CHAMBERS","0.5%"
"9906",2022-09-28,"CHAMBERS","1.3%"
"9907",2022-09-29,"CHAMBERS","1.7%"
"9908",2022-09-30,"CHAMBERS","1.7%"
"9909",2022-10-01,"CHAMBERS","2.2%"
"9910",2022-10-02,"CHAMBERS","2.5%"
"9911",2022-10-03,"CHAMBERS","2.4%"
"9912",2022-10-04,"CHAMBERS","7.3%"
"9913",2022-10-05,"CHAMBERS","2.7%"
"9914",2022-10-06,"CHAMBERS","3.3%"
"9915",2022-10-07,"CHAMBERS","3.3%"
"9916",2022-10-08,"CHAMBERS","2.9%"
"9917",2022-10-09,"CHAMBERS","2.6%"
"9918",2022-10-10,"CHAMBERS","3.1%"
"9919",2022-10-11,"CHAMBERS","3.1%"
"9920",2022-10-12,"CHAMBERS","2.4%"
"9921",2022-10-13,"CHAMBERS","1.3%"
"9922",2022-10-14,"CHAMBERS","0.9%"
"9923",2022-10-15,"CHAMBERS","1.7%"
"9924",2022-10-16,"CHAMBERS","2.1%"
"9925",2022-10-17,"CHAMBERS","2.1%"
"9926",2022-10-18,"CHAMBERS","3%"
"9927",2022-10-19,"CHAMBERS","8.6%"
"9928",2022-10-20,"CHAMBERS","9.6%"
"9929",2022-10-21,"CHAMBERS","10.6%"
"9930",2022-10-22,"CHAMBERS","10%"
"9931",2022-10-23,"CHAMBERS","9.8%"
"9932",2022-10-24,"CHAMBERS","10.6%"
"9933",2022-10-25,"CHAMBERS","10%"
"9934",2022-10-26,"CHAMBERS","4.7%"
"9935",2022-10-27,"CHAMBERS","5.6%"
"9936",2022-10-28,"CHAMBERS","5.6%"
"9937",2022-10-29,"CHAMBERS","5.2%"
"9938",2022-10-30,"CHAMBERS","5.5%"
"9939",2022-10-31,"CHAMBERS","5.3%"
"9940",2022-11-01,"CHAMBERS","5.4%"
"9941",2022-11-02,"CHAMBERS","4.7%"
"9942",2022-11-03,"CHAMBERS","3.7%"
"9943",2022-11-04,"CHAMBERS","3.3%"
"9944",2022-11-05,"CHAMBERS","3%"
"9945",2022-11-06,"CHAMBERS","3.1%"
"9946",2022-11-07,"CHAMBERS","3.2%"
"9947",2022-11-08,"CHAMBERS","2.1%"
"9948",2022-11-09,"CHAMBERS","2.8%"
"9949",2022-11-10,"CHAMBERS","3.1%"
