"","Date","Hospitals reporting","Hospitalized daily","Hospitalized daily, no weekend","7-day average","14-day average","Average per hospital","7-day change","14-day change","21-day change"
"467",2021-07-04,96,213,NA,196,189,2,31,47,17
"468",2021-07-05,99,217,217,200,192,2,30,44,22
"469",2021-07-06,102,235,235,206,196,2,46,47,36
"470",2021-07-07,111,256,256,214,200,2,56,60,71
"471",2021-07-08,100,249,249,221,204,2,45,62,53
"472",2021-07-09,103,247,247,228,209,2,50,69,80
"473",2021-07-10,99,267,NA,241,216,3,88,90,98
"474",2021-07-11,96,263,NA,248,222,3,50,81,97
"475",2021-07-12,102,277,277,256,228,3,60,90,104
"476",2021-07-13,104,321,321,269,238,3,86,132,133
"477",2021-07-14,109,341,341,281,248,3,85,141,145
"478",2021-07-15,103,371,371,298,260,4,122,167,184
"479",2021-07-16,103,391,391,319,273,4,144,194,213
"480",2021-07-17,99,429,NA,342,291,4,162,250,252
"481",2021-07-18,98,452,NA,369,308,5,189,239,270
"482",2021-07-19,104,500,500,401,328,5,223,283,313
"483",2021-07-20,105,554,554,434,351,5,233,319,365
"484",2021-07-21,110,602,602,471,376,5,261,346,402
"485",2021-07-22,105,648,648,511,404,6,277,399,444
"486",2021-07-23,105,733,733,560,439,7,342,486,536
"487",2021-07-24,99,787,NA,611,476,8,358,520,608
"488",2021-07-25,98,870,NA,671,520,9,418,607,657
"489",2021-07-26,105,957,957,736,568,9,457,680,740
"490",2021-07-27,106,1099,1099,814,624,10,545,778,864
"491",2021-07-28,111,1181,1181,896,684,11,579,840,925
"492",2021-07-29,101,1251,1251,983,747,12,603,880,1002
"493",2021-07-30,105,1345,1345,1070,815,13,612,954,1098
"494",2021-07-31,100,1371,NA,1153,882,14,584,942,1104
"495",2021-08-01,100,1451,NA,1236,954,15,581,999,1188
"496",2021-08-02,104,1584,1584,1326,1031,15,627,1084,1307
"497",2021-08-03,107,1694,1694,1411,1112,16,595,1140,1373
"498",2021-08-04,107,1736,1736,1490,1193,16,555,1134,1395
"499",2021-08-05,106,1848,1848,1576,1279,17,597,1200,1477
"500",2021-08-06,104,1923,1923,1658,1364,18,578,1190,1532
"501",2021-08-07,99,1968,NA,1743,1448,20,597,1181,1539
"502",2021-08-08,98,1964,NA,1817,1527,20,513,1094,1512
"503",2021-08-09,106,2134,2134,1895,1611,20,550,1177,1634
"504",2021-08-10,107,2256,2256,1976,1693,21,562,1157,1702
"505",2021-08-11,111,2371,2371,2066,1778,21,635,1190,1769
"506",2021-08-12,108,2441,2441,2151,1863,23,593,1190,1793
"507",2021-08-13,105,2430,2430,2223,1941,23,507,1085,1697
"508",2021-08-14,97,2402,NA,2285,2014,25,434,1031,1615
"509",2021-08-15,100,2570,NA,2372,2094,26,606,1119,1700
"510",2021-08-16,105,2631,2631,2443,2169,25,497,1047,1674
"511",2021-08-17,105,2723,2723,2510,2243,26,467,1029,1624
"512",2021-08-18,111,2731,2731,2561,2314,25,360,995,1550
"513",2021-08-19,106,2764,2764,2607,2379,26,323,916,1513
"514",2021-08-20,105,2702,2702,2646,2435,26,272,779,1357
"515",2021-08-21,100,2693,NA,2688,2487,27,291,725,1322
"516",2021-08-22,99,2711,NA,2708,2540,27,141,747,1260
"517",2021-08-23,106,2762,2762,2727,2585,26,131,628,1178
"518",2021-08-24,106,2786,2786,2736,2623,26,63,530,1092
"519",2021-08-25,111,2822,2822,2749,2655,25,91,451,1086
"520",2021-08-26,107,2956,2956,2776,2692,28,192,515,1108
"521",2021-08-27,98,2858,2858,2798,2722,29,156,428,935
"522",2021-08-28,103,2743,NA,2805,2747,27,50,341,775
"523",2021-08-29,103,2783,NA,2816,2762,27,72,213,819
"524",2021-08-30,104,2902,2902,2836,2781,28,140,271,768
"525",2021-08-31,106,2855,2855,2846,2791,27,69,132,599
"526",2021-09-01,112,2890,2890,2855,2802,26,68,159,519
"527",2021-09-02,107,2846,2846,2840,2808,27,-110,82,405
"528",2021-09-03,96,2684,2684,2815,2806,28,-174,-18,254
"529",2021-09-04,101,2700,NA,2809,2807,27,-43,7,298
"530",2021-09-05,101,2636,NA,2788,2802,26,-147,-75,66
"531",2021-09-06,106,2785,2785,2771,2803,26,-117,23,154
"532",2021-09-07,105,2753,2753,2756,2801,26,-102,-33,30
"533",2021-09-08,111,2736,2736,2734,2795,25,-154,-86,5
"534",2021-09-09,105,2659,2659,2708,2774,25,-187,-297,-105
"535",2021-09-10,99,2551,2551,2689,2752,26,-133,-307,-151
"536",2021-09-11,104,2481,NA,2657,2733,24,-219,-262,-212
"537",2021-09-12,104,2493,NA,2637,2712,24,-143,-290,-218
"538",2021-09-13,107,2475,2475,2593,2682,23,-310,-427,-287
"539",2021-09-14,105,2391,2391,2541,2649,23,-362,-464,-395
"540",2021-09-15,111,2328,2328,2483,2608,21,-408,-562,-494
"541",2021-09-16,104,2230,2230,2421,2564,21,-429,-616,-726
"542",2021-09-17,101,2159,2159,2365,2527,21,-392,-525,-699
"543",2021-09-18,104,2048,NA,2303,2480,20,-433,-652,-695
"544",2021-09-19,105,1991,NA,2232,2434,19,-502,-645,-792
"545",2021-09-20,105,1950,1950,2157,2375,19,-525,-835,-952
"546",2021-09-21,104,1857,1857,2080,2311,18,-534,-896,-998
"547",2021-09-22,112,1766,1766,2000,2241,16,-562,-970,-1124
"548",2021-09-23,106,1719,1719,1927,2174,16,-511,-940,-1127
"549",2021-09-24,97,1640,1640,1853,2109,17,-519,-911,-1044
"550",2021-09-25,104,1560,NA,1783,2043,15,-488,-921,-1140
"551",2021-09-26,104,1560,NA,1722,1977,15,-431,-933,-1076
"552",2021-09-27,105,1536,1536,1663,1910,15,-414,-939,-1249
"553",2021-09-28,107,1471,1471,1607,1844,14,-386,-920,-1282
"554",2021-09-29,111,1381,1381,1552,1776,12,-385,-947,-1355
"555",2021-09-30,103,1320,1320,1495,1711,13,-399,-910,-1339
"556",2021-10-01,100,1226,1226,1436,1645,12,-414,-933,-1325
"557",2021-10-02,102,1147,NA,1377,1580,11,-413,-901,-1334
"558",2021-10-03,104,1161,NA,1320,1521,11,-399,-830,-1332
"559",2021-10-04,105,1152,1152,1265,1464,11,-384,-798,-1323
"560",2021-10-05,106,1147,1147,1219,1413,11,-324,-710,-1244
"561",2021-10-06,109,1087,1087,1177,1365,10,-294,-679,-1241
"562",2021-10-07,106,1041,1041,1137,1316,10,-279,-678,-1189
"563",2021-10-08,96,957,957,1099,1268,10,-269,-683,-1202
"564",2021-10-09,101,879,NA,1061,1219,9,-268,-681,-1169
"565",2021-10-10,105,942,NA,1029,1175,9,-219,-618,-1049
"566",2021-10-11,104,933,933,998,1132,9,-219,-603,-1017
"567",2021-10-12,104,875,875,959,1089,8,-272,-596,-982
"568",2021-10-13,110,814,814,920,1049,7,-273,-567,-952
"569",2021-10-14,103,771,771,882,1009,7,-270,-549,-948
"570",2021-10-15,98,717,717,847,973,7,-240,-509,-923
"571",2021-10-16,103,717,NA,824,942,7,-162,-430,-843
"572",2021-10-17,105,697,NA,789,909,7,-245,-464,-863
"573",2021-10-18,103,687,687,754,876,7,-246,-465,-849
"574",2021-10-19,105,659,659,723,841,6,-216,-488,-812
"575",2021-10-20,108,626,626,696,808,6,-188,-461,-755
"576",2021-10-21,102,571,571,668,775,6,-200,-470,-749
"577",2021-10-22,95,524,524,640,744,6,-193,-433,-702
"578",2021-10-23,103,501,NA,609,717,5,-216,-378,-646
"579",2021-10-24,105,510,NA,583,686,5,-187,-432,-651
"580",2021-10-25,104,503,503,556,655,5,-184,-430,-649
"581",2021-10-26,105,486,486,532,627,5,-173,-389,-661
"582",2021-10-27,109,477,477,510,603,4,-149,-337,-610
"583",2021-10-28,103,465,465,495,581,5,-106,-306,-576
"584",2021-10-29,100,427,427,481,561,4,-97,-290,-530
"585",2021-10-30,101,419,NA,470,539,4,-82,-298,-460
"586",2021-10-31,103,427,NA,458,520,4,-83,-270,-515
"587",2021-11-01,102,431,431,447,502,4,-72,-256,-502
"588",2021-11-02,105,413,413,437,484,4,-73,-246,-462
"589",2021-11-03,107,391,391,425,468,4,-86,-235,-423
"590",2021-11-04,102,376,376,412,454,4,-89,-195,-395
"591",2021-11-05,98,361,361,403,442,4,-66,-163,-356
"592",2021-11-06,104,341,NA,391,430,3,-78,-160,-376
"593",2021-11-07,100,319,NA,376,417,3,-108,-191,-378
"594",2021-11-08,101,331,331,362,405,3,-100,-172,-356
"595",2021-11-09,103,329,329,350,393,3,-84,-157,-330
"596",2021-11-10,108,295,295,336,380,3,-96,-182,-331
"597",2021-11-11,103,295,295,324,368,3,-81,-170,-276
"598",2021-11-12,98,284,284,313,358,3,-77,-143,-240
"599",2021-11-13,101,281,NA,305,348,3,-60,-138,-220
"600",2021-11-14,102,276,NA,299,337,3,-43,-151,-234
"601",2021-11-15,103,298,298,294,328,3,-33,-133,-205
"602",2021-11-16,101,297,297,289,320,3,-32,-116,-189
"603",2021-11-17,105,282,282,288,312,3,-13,-109,-195
"604",2021-11-18,103,309,309,290,307,3,14,-67,-156
"605",2021-11-19,93,290,290,290,302,3,6,-71,-137
"606",2021-11-20,98,251,NA,286,296,3,-30,-90,-168
"607",2021-11-21,105,297,NA,289,294,3,21,-22,-130
"608",2021-11-22,101,296,296,289,291,3,-2,-35,-135
"609",2021-11-23,102,303,303,290,290,3,6,-26,-110
"610",2021-11-24,99,297,297,292,290,3,15,2,-94
"611",2021-11-25,101,271,271,286,288,3,-38,-24,-105
"612",2021-11-26,99,279,279,285,288,3,-11,-5,-82
"613",2021-11-27,102,286,NA,290,288,3,35,5,-55
"614",2021-11-28,101,284,NA,288,289,3,-13,8,-35
"615",2021-11-29,103,308,308,290,289,3,12,10,-23
