"","County","Date","County name","FIPS","Fully vaccinated, all ages","Fully vaccinated","Received at least 1 dose, all ages","Received at least 1 dose","Fully vaccinated, 5+","Fully vaccinated, 12+","Fully vaccinated, 18+","Fully vaccinated, 65+","Geometry"
"31","Geneva",2023-01-11,"Geneva County","01061","41.3","10839","49.8","13093","43.6","47.6","50.7","75.1","MULTIPOLYGON (((-86.19348 31.19221, -86.12548 31.19275, -86.11674 31.1821, -86.11673 31.19301, -86.05853 31.19408, -85.7914 31.19635, -85.71033 31.19517, -85.58573 31.19487, -85.48576 31.19989, -85.48543 31.14141, -85.4883 30.99708, -85.49799 30.99693, -85.49838 30.99692, -85.57949 30.99639, -85.74971 30.99528, -85.75003 30.99483, -85.89363 30.99345, -85.99873 30.99286, -86.03504 30.99331, -86.03512 30.99331, -86.05254 30.99323, -86.05629 30.99312, -86.117 30.9929, -86.16296 30.99367, -86.16906 30.99369, -86.17528 30.99378, -86.18031 30.99399, -86.18725 30.99403, -86.19035 31.00306, -86.19348 31.19221)))"
"32","Greene",2023-01-11,"Greene County","01063","52.7","4278","65.8","5334","56","60.2","62.2","78.4","MULTIPOLYGON (((-88.1963 32.93565, -88.17533 32.93209, -88.1723 32.94289, -88.18236 32.94569, -88.18406 32.96245, -88.16528 32.95432, -88.15735 32.96458, -88.16734 32.97055, -88.17185 32.99586, -88.17176 33.00867, -88.14293 33.02536, -88.1494 33.0373, -88.11521 33.0418, -88.08607 33.03625, -88.07487 33.05277, -88.065 33.05134, -88.04343 33.03263, -88.03157 33.04216, -88.03937 33.05363, -88.02697 33.0636, -87.98149 33.08062, -87.96884 33.07764, -87.93831 33.11467, -87.93368 33.1132, -87.87679 33.13919, -87.83752 33.15364, -87.83805 33.13686, -87.83146 33.09386, -87.83223 33.01726, -87.75233 33.01726, -87.71474 33.01772, -87.71201 33.01562, -87.71571 33.00682, -87.71512 33.00584, -87.71314 33.00114, -87.71039 32.99905, -87.70686 32.99144, -87.71845 32.98545, -87.72896 32.98439, -87.73326 32.9784, -87.73963 32.97735, -87.74485 32.97886, -87.74877 32.97893, -87.74809 32.97522, -87.74656 32.97174, -87.74071 32.9613, -87.74639 32.95508, -87.74083 32.95132, -87.7348 32.95258, -87.73129 32.94672, -87.73579 32.94138, -87.75236 32.93561, -87.75513 32.93668, -87.75501 32.9334, -87.75229 32.93221, -87.75688 32.9309, -87.75738 32.93354, -87.76127 32.93377, -87.76487 32.92778, -87.76962 32.92648, -87.77205 32.92765, -87.77487 32.92451, -87.77535 32.92077, -87.76971 32.91717, -87.76518 32.91034, -87.7653 32.90485, -87.77083 32.89917, -87.78051 32.89977, -87.786 32.89488, -87.79661 32.89633, -87.80176 32.89543, -87.80628 32.89547, -87.80566 32.89135, -87.80834 32.88697, -87.81276 32.8883, -87.81448 32.89053, -87.81707 32.8922, -87.8187 32.89113, -87.81722 32.88809, -87.81304 32.88631, -87.81027 32.88257, -87.8103 32.88018, -87.8154 32.88012, -87.81878 32.8815, -87.822 32.87835, -87.82182 32.87472, -87.8208 32.86865, -87.82635 32.86447, -87.83021 32.86509, -87.83276 32.85915, -87.82725 32.85344, -87.82274 32.85277, -87.82397 32.84806, -87.8313 32.8473, -87.83175 32.8405, -87.82209 32.83699, -87.81697 32.83209, -87.81514 32.82273, -87.81566 32.81281, -87.81736 32.80738, -87.81868 32.80075, -87.82327 32.79362, -87.83433 32.78659, -87.84165 32.77852, -87.85099 32.77318, -87.86002 32.77288, -87.86649 32.7704, -87.86789 32.76626, -87.86927 32.76439, -87.86696 32.75988, -87.86134 32.75693, -87.85289 32.75916, -87.8429 32.75945, -87.83409 32.76187, -87.83513 32.76484, -87.83321 32.7697, -87.82318 32.7659, -87.81471 32.75786, -87.8053 32.74784, -87.81315 32.73355, -87.82084 32.73354, -87.82857 32.72728, -87.83157 32.71569, -87.82637 32.70826, -87.81603 32.70665, -87.81121 32.71053, -87.80461 32.7148, -87.79471 32.71212, -87.7952 32.70391, -87.78689 32.67502, -87.79127 32.67073, -87.79228 32.6602, -87.77855 32.65146, -87.75584 32.65541, -87.74378 32.65435, -87.74458 32.64677, -87.74798 32.64082, -87.7629 32.6364, -87.78063 32.64007, -87.79084 32.63765, -87.80067 32.63782, -87.80777 32.63798, -87.81083 32.62882, -87.80675 32.61929, -87.79073 32.6071, -87.78238 32.60568, -87.76242 32.6129, -87.75582 32.61437, -87.74868 32.61249, -87.74817 32.60909, -87.74419 32.59911, -87.74093 32.59436, -87.7376 32.59053, -87.74227 32.58785, -87.74645 32.58652, -87.75803 32.5787, -87.77066 32.57545, -87.77153 32.58127, -87.77593 32.5832, -87.78479 32.58476, -87.78749 32.57909, -87.78627 32.56743, -87.79329 32.56312, -87.79678 32.56457, -87.79888 32.55144, -87.8011 32.53501, -87.81256 32.52456, -87.82338 32.52044, -87.82232 32.54375, -87.84384 32.5472, -87.85342 32.53209, -87.87381 32.54429, -87.87501 32.57182, -87.89835 32.59232, -87.89791 32.60005, -87.88263 32.60972, -87.8621 32.60648, -87.86019 32.59089, -87.84089 32.60576, -87.85812 32.62079, -87.87724 32.62208, -87.90484 32.61458, -87.91182 32.62476, -87.92869 32.63228, -87.9473 32.62683, -87.977 32.61078, -88.00989 32.60072, -88.05733 32.59344, -88.07916 32.61968, -88.07902 32.63859, -88.055 32.64648, -88.05799 32.67438, -88.0409 32.68767, -88.05148 32.69699, -88.07823 32.684, -88.10714 32.68922, -88.11586 32.70104, -88.08538 32.70905, -88.08187 32.71943, -88.10143 32.73926, -88.10963 32.77099, -88.10298 32.77943, -88.07934 32.77295, -88.06447 32.79219, -88.07918 32.80449, -88.10541 32.79841, -88.13268 32.83285, -88.14728 32.82487, -88.17973 32.8302, -88.15497 32.85287, -88.17997 32.87167, -88.18975 32.91073, -88.20732 32.92478, -88.1963 32.93565)))"
"33","Hale",2023-01-11,"Hale County","01065","63.1","9248","74.5","10914","67.7","73.1","74.9","87.5","MULTIPOLYGON (((-87.86789 32.76626, -87.86649 32.7704, -87.86002 32.77288, -87.85099 32.77318, -87.84165 32.77852, -87.83433 32.78659, -87.82327 32.79362, -87.81868 32.80075, -87.81736 32.80738, -87.81566 32.81281, -87.81514 32.82273, -87.81697 32.83209, -87.82209 32.83699, -87.83175 32.8405, -87.8313 32.8473, -87.82397 32.84806, -87.82274 32.85277, -87.82725 32.85344, -87.83276 32.85915, -87.83021 32.86509, -87.82635 32.86447, -87.8208 32.86865, -87.82182 32.87472, -87.822 32.87835, -87.81878 32.8815, -87.8154 32.88012, -87.8103 32.88018, -87.81027 32.88257, -87.81304 32.88631, -87.81722 32.88809, -87.8187 32.89113, -87.81707 32.8922, -87.81448 32.89053, -87.81276 32.8883, -87.80834 32.88697, -87.80566 32.89135, -87.80628 32.89547, -87.80176 32.89543, -87.79661 32.89633, -87.786 32.89488, -87.78051 32.89977, -87.77083 32.89917, -87.7653 32.90485, -87.76518 32.91034, -87.76971 32.91717, -87.77535 32.92077, -87.77487 32.92451, -87.77205 32.92765, -87.76962 32.92648, -87.76487 32.92778, -87.76127 32.93377, -87.75738 32.93354, -87.75688 32.9309, -87.75229 32.93221, -87.75501 32.9334, -87.75513 32.93668, -87.75236 32.93561, -87.73579 32.94138, -87.73129 32.94672, -87.7348 32.95258, -87.74083 32.95132, -87.74639 32.95508, -87.74071 32.9613, -87.74656 32.97174, -87.74809 32.97522, -87.74877 32.97893, -87.74485 32.97886, -87.73963 32.97735, -87.73326 32.9784, -87.72896 32.98439, -87.71845 32.98545, -87.70686 32.99144, -87.71039 32.99905, -87.71314 33.00114, -87.71512 33.00584, -87.71571 33.00682, -87.42194 33.00338, -87.4212 32.87451, -87.42139 32.83083, -87.47217 32.83062, -87.47219 32.74345, -87.47381 32.72819, -87.47391 32.65587, -87.5252 32.65571, -87.52448 32.48203, -87.71055 32.48078, -87.72874 32.48092, -87.72852 32.52453, -87.81256 32.52456, -87.8011 32.53501, -87.79888 32.55144, -87.79678 32.56457, -87.79329 32.56312, -87.78627 32.56743, -87.78749 32.57909, -87.78479 32.58476, -87.77593 32.5832, -87.77153 32.58127, -87.77066 32.57545, -87.75803 32.5787, -87.74645 32.58652, -87.74227 32.58785, -87.7376 32.59053, -87.74093 32.59436, -87.74419 32.59911, -87.74817 32.60909, -87.74868 32.61249, -87.75582 32.61437, -87.76242 32.6129, -87.78238 32.60568, -87.79073 32.6071, -87.80675 32.61929, -87.81083 32.62882, -87.80777 32.63798, -87.80067 32.63782, -87.79084 32.63765, -87.78063 32.64007, -87.7629 32.6364, -87.74798 32.64082, -87.74458 32.64677, -87.74378 32.65435, -87.75584 32.65541, -87.77855 32.65146, -87.79228 32.6602, -87.79127 32.67073, -87.78689 32.67502, -87.7952 32.70391, -87.79471 32.71212, -87.80461 32.7148, -87.81121 32.71053, -87.81603 32.70665, -87.82637 32.70826, -87.83157 32.71569, -87.82857 32.72728, -87.82084 32.73354, -87.81315 32.73355, -87.8053 32.74784, -87.81471 32.75786, -87.82318 32.7659, -87.83321 32.7697, -87.83513 32.76484, -87.83409 32.76187, -87.8429 32.75945, -87.85289 32.75916, -87.86134 32.75693, -87.86696 32.75988, -87.86927 32.76439, -87.86789 32.76626)))"
"34","Henry",2023-01-11,"Henry County","01067","46.6","8010","55.9","9610","49.1","52.9","55.9","74.8","MULTIPOLYGON (((-85.41803 31.44077, -85.41577 31.49041, -85.41644 31.61947, -85.41604 31.70666, -85.21608 31.70241, -85.20951 31.71047, -85.20603 31.74181, -85.18831 31.74644, -85.14843 31.77347, -85.12869 31.76388, -85.11893 31.73266, -85.12553 31.69496, -85.08273 31.64977, -85.06216 31.62291, -85.05796 31.57084, -85.04188 31.54468, -85.04499 31.51823, -85.04556 31.51716, -85.07162 31.46838, -85.066 31.43136, -85.07998 31.41047, -85.07758 31.39811, -85.09249 31.36288, -85.08666 31.34, -85.08883 31.30865, -85.17913 31.30767, -85.22936 31.30937, -85.25283 31.3108, -85.27406 31.31065, -85.41743 31.31497, -85.41671 31.36335, -85.41803 31.44077)))"
"35","Houston",2023-01-11,"Houston County","01069","44.6","47268","53.1","56268","47.6","51.7","54.3","77.7","MULTIPOLYGON (((-85.69666 31.20472, -85.68909 31.23609, -85.67119 31.2497, -85.65998 31.27089, -85.63531 31.27555, -85.60296 31.27238, -85.58553 31.26418, -85.54611 31.25387, -85.48585 31.2461, -85.48544 31.28709, -85.46804 31.28678, -85.42623 31.28627, -85.41714 31.28722, -85.41743 31.31497, -85.27406 31.31065, -85.25283 31.3108, -85.22936 31.30937, -85.17913 31.30767, -85.08883 31.30865, -85.08977 31.29503, -85.11455 31.2763, -85.09884 31.23252, -85.09977 31.20975, -85.10752 31.18645, -85.0934 31.16233, -85.07663 31.15693, -85.05287 31.11949, -85.03561 31.10819, -85.0266 31.08096, -85.02358 31.0755, -85.01139 31.05355, -85.0015 31.00504, -85.0025 31.00068, -85.02424 31.00068, -85.02764 31.00067, -85.03024 31.00065, -85.03128 31.00065, -85.05222 31.00058, -85.05493 31.00058, -85.05766 31.00058, -85.14596 31.00069, -85.15221 31.00089, -85.15234 31.00083, -85.15458 31.00083, -85.24375 31.00088, -85.4883 30.99708, -85.48543 31.14141, -85.48576 31.19989, -85.58573 31.19487, -85.71033 31.19517, -85.69666 31.20472)))"
"36","Jackson",2023-01-11,"Jackson County","01071","51.1","26397","62","32026","54","58.2","61.2","88.5","MULTIPOLYGON (((-86.35812 34.73503, -86.34225 34.74431, -86.33785 34.76304, -86.34354 34.81706, -86.32655 34.83132, -86.34697 34.85769, -86.3513 34.87366, -86.32943 34.9014, -86.31131 34.91479, -86.32624 34.9371, -86.31144 34.93483, -86.29602 34.94478, -86.28172 34.93846, -86.27224 34.9241, -86.25694 34.92648, -86.25697 34.93777, -86.25919 34.94537, -86.28705 34.95774, -86.28937 34.96862, -86.30632 34.97492, -86.31127 34.9911, -86.06162 34.98958, -85.86394 34.98838, -85.82872 34.98816, -85.82441 34.98814, -85.60516 34.98468, -85.59939 34.95177, -85.59878 34.94492, -85.59519 34.92433, -85.59516 34.92417, -85.58315 34.86037, -85.62707 34.83188, -85.63427 34.79898, -85.6602 34.75496, -85.67338 34.74491, -85.69304 34.74425, -85.78547 34.62458, -85.88111 34.56231, -85.93854 34.52535, -85.95694 34.50712, -85.95698 34.50614, -85.95961 34.50348, -85.96011 34.50218, -85.96118 34.50059, -85.96234 34.49976, -85.96411 34.49964, -85.96616 34.49861, -86.00384 34.48003, -86.01559 34.48164, -86.03485 34.47342, -86.05771 34.47599, -86.08342 34.46457, -86.09615 34.48874, -86.09774 34.51255, -86.09785 34.5217, -86.12638 34.5333, -86.14776 34.5209, -86.14868 34.58834, -86.14846 34.59907, -86.18299 34.59944, -86.31604 34.5998, -86.31826 34.5998, -86.32696 34.59974, -86.32685 34.5994, -86.33134 34.60732, -86.32586 34.60959, -86.35382 34.62908, -86.35812 34.73503)))"
"37","Jefferson",2023-01-11,"Jefferson County","01073","61.1","402402","74.9","493220","65.1","69.8","71.6","94.2","MULTIPOLYGON (((-87.3417 33.4705, -87.33028 33.49196, -87.28502 33.48578, -87.28544 33.50228, -87.26136 33.50068, -87.26692 33.51293, -87.27553 33.52206, -87.2687 33.53058, -87.25047 33.5142, -87.2326 33.53938, -87.21003 33.53873, -87.18579 33.55588, -87.19691 33.5624, -87.20458 33.57883, -87.19692 33.59934, -87.17955 33.59927, -87.17943 33.61379, -87.14441 33.61341, -87.14447 33.6282, -87.09273 33.62785, -87.0927 33.65687, -87.05776 33.65636, -87.05725 33.68547, -87.03982 33.68746, -87.04064 33.72897, -87.03158 33.72898, -87.02335 33.74659, -87.02329 33.77273, -87.00589 33.77257, -87.00596 33.78724, -86.97093 33.78646, -86.97124 33.80121, -86.95577 33.80083, -86.95366 33.8153, -86.93654 33.81531, -86.88395 33.84324, -86.78837 33.84103, -86.75914 33.84062, -86.64529 33.77301, -86.64776 33.7659, -86.58811 33.76536, -86.5778 33.76532, -86.54276 33.76517, -86.54264 33.73564, -86.52507 33.72124, -86.52542 33.65605, -86.52512 33.64871, -86.53382 33.64889, -86.5341 33.6485, -86.53416 33.63435, -86.54282 33.63437, -86.54277 33.61984, -86.55147 33.60546, -86.55199 33.56102, -86.51674 33.55338, -86.51678 33.5459, -86.5172 33.52414, -86.56062 33.51751, -86.60451 33.46705, -86.62669 33.46677, -86.66763 33.4666, -86.67445 33.45174, -86.69194 33.4515, -86.69861 33.44113, -86.7006 33.43927, -86.70035 33.43035, -86.71061 33.43057, -86.71813 33.41632, -86.75248 33.41586, -86.76114 33.38837, -86.77836 33.38894, -86.77864 33.36688, -86.83023 33.36077, -86.83047 33.343, -86.8306 33.33201, -86.83943 33.33203, -86.88252 33.33269, -86.89129 33.32579, -86.89556 33.31655, -86.92614 33.29653, -86.92617 33.27816, -86.96957 33.26747, -86.97836 33.25622, -86.97836 33.25514, -86.98274 33.25299, -86.98289 33.24601, -87.02685 33.24646, -87.06574 33.24691, -87.06575 33.26763, -87.06575 33.27594, -87.0875 33.29068, -87.12676 33.29084, -87.12714 33.30601, -87.16201 33.30659, -87.16217 33.32101, -87.17964 33.32111, -87.17975 33.32801, -87.18001 33.34298, -87.19484 33.34307, -87.19758 33.35813, -87.232 33.36585, -87.23204 33.39514, -87.24931 33.39558, -87.25379 33.41781, -87.28427 33.42571, -87.28436 33.44058, -87.31439 33.44172, -87.31411 33.45573, -87.33558 33.45625, -87.3417 33.4705)))"
"38","Lamar",2023-01-11,"Lamar County","01075","45.4","6268","52.6","7261","48.1","52.2","55.5","80.6","MULTIPOLYGON (((-88.27005 33.57082, -88.26953 33.57289, -88.26908 33.57693, -88.26816 33.58504, -88.26715 33.59199, -88.267 33.59423, -88.262 33.63544, -88.25634 33.68205, -88.25613 33.68286, -88.25462 33.69578, -88.25444 33.69878, -88.25226 33.71957, -88.24894 33.74497, -88.24414 33.78167, -88.24303 33.79568, -88.24005 33.81088, -88.23549 33.8472, -88.22925 33.89196, -88.22652 33.91155, -88.22652 33.91166, -88.22643 33.91287, -88.21327 34.01045, -88.21074 34.0292, -88.20723 34.05833, -87.98693 34.0521, -87.98743 34.0229, -87.95193 34.0222, -87.95179 33.91993, -87.94666 33.6413, -87.94652 33.52407, -88.27462 33.53401, -88.27005 33.57082)))"
"39","Lauderdale",2023-01-11,"Lauderdale County","01077","48.4","44837","59.3","55013","50.9","54.5","57","80.1","MULTIPOLYGON (((-88.20296 35.00803, -88.00003 35.00594, -87.98492 35.00588, -87.9735 35.00584, -87.92698 35.00566, -87.87797 35.00547, -87.87774 35.00551, -87.87263 35.00557, -87.85353 35.00554, -87.85341 35.00558, -87.85189 35.00566, -87.77359 35.00495, -87.7676 35.00478, -87.75889 35.00471, -87.70949 35.00409, -87.70232 35.00395, -87.70054 35.00399, -87.69683 35.00385, -87.6714 35.00354, -87.66412 35.00352, -87.62502 35.00373, -87.60618 35.00364, -87.43707 35.00284, -87.42861 35.0028, -87.42154 35.00268, -87.4174 35.00267, -87.39131 35.00237, -87.38107 35.00212, -87.35928 35.00182, -87.34925 35.00166, -87.29918 35.00091, -87.27001 35.00039, -87.23054 34.99948, -87.22405 34.99933, -87.21668 34.99915, -87.21076 34.99902, -87.21491 34.81601, -87.25557 34.78835, -87.27108 34.78383, -87.2783 34.77356, -87.26068 34.75863, -87.2979 34.75081, -87.34422 34.79649, -87.37025 34.80499, -87.42651 34.80002, -87.47997 34.81263, -87.52436 34.83238, -87.58475 34.81919, -87.60461 34.80386, -87.61369 34.79903, -87.6247 34.79604, -87.6434 34.79285, -87.65399 34.78787, -87.6696 34.78244, -87.67105 34.78254, -87.67539 34.78214, -87.69419 34.77663, -87.70757 34.77292, -87.73266 34.74569, -87.76733 34.73459, -87.80696 34.73206, -87.83583 34.74124, -87.86131 34.76298, -87.92029 34.80447, -87.93346 34.8389, -87.95227 34.86766, -87.98661 34.88674, -88.04087 34.90661, -88.09789 34.8922, -88.1 34.8941, -88.12504 34.90223, -88.13669 34.90759, -88.13972 34.90963, -88.14633 34.91437, -88.15462 34.92239, -88.16159 34.93346, -88.1721 34.95521, -88.17611 34.96252, -88.17997 34.96747, -88.18743 34.97491, -88.19881 34.99119, -88.20006 34.99563, -88.20082 34.99777, -88.20199 35.00542, -88.20296 35.00803)))"
"40","Lawrence",2023-01-11,"Lawrence County","01079","48.2","15865","56.4","18578","51","55.6","58.8","85.5","MULTIPOLYGON (((-87.52967 34.56708, -87.51781 34.56623, -87.51856 34.57748, -87.50734 34.58649, -87.51452 34.59832, -87.50272 34.60948, -87.49691 34.62599, -87.47682 34.6378, -87.48365 34.64814, -87.4595 34.64435, -87.4434 34.66109, -87.45114 34.68238, -87.44995 34.6968, -87.42629 34.70933, -87.43306 34.71748, -87.42785 34.75191, -87.41648 34.76754, -87.43439 34.77361, -87.42651 34.80002, -87.37025 34.80499, -87.34422 34.79649, -87.2979 34.75081, -87.26068 34.75863, -87.22277 34.76323, -87.17159 34.74286, -87.13886 34.7241, -87.11946 34.69726, -87.10507 34.68604, -87.10576 34.60562, -87.10621 34.57439, -87.10937 34.41581, -87.11011 34.3138, -87.10991 34.2993, -87.49815 34.30444, -87.52972 34.3046, -87.52967 34.56708)))"
"41","Lee",2023-01-11,"Lee County","01081","42","69154","50.2","82547","44.5","47.3","48.5","69.2","MULTIPOLYGON (((-85.69675 32.69743, -85.67965 32.69793, -85.67985 32.71253, -85.61025 32.71393, -85.60999 32.72795, -85.59315 32.72853, -85.43055 32.73033, -85.43055 32.74503, -85.41345 32.74473, -85.40455 32.73053, -85.37713 32.7303, -85.35641 32.7305, -85.29322 32.73073, -85.28484 32.74513, -85.13504 32.74653, -85.1301 32.75175, -85.11855 32.74082, -85.11425 32.73045, -85.12274 32.71573, -85.11474 32.68563, -85.09354 32.66973, -85.08853 32.65796, -85.10534 32.64484, -85.08974 32.6316, -85.07968 32.6081, -85.06766 32.58001, -85.03447 32.55275, -85.02251 32.54292, -85.0071 32.52387, -85.00374 32.5101, -85.04777 32.50936, -85.05652 32.50928, -85.06081 32.50771, -85.05929 32.47291, -85.14747 32.47118, -85.22475 32.47028, -85.33384 32.46864, -85.33014 32.41084, -85.35684 32.41049, -85.43404 32.40984, -85.43714 32.47868, -85.43858 32.49709, -85.48935 32.49694, -85.66105 32.56793, -85.66125 32.58233, -85.69565 32.58203, -85.69585 32.59593, -85.69675 32.69743)))"
"42","Limestone",2023-01-11,"Limestone County","01083","40.3","39836","48.2","47709","42.6","46.2","48.4","72.5","MULTIPOLYGON (((-87.27108 34.78383, -87.25557 34.78835, -87.21491 34.81601, -87.21076 34.99902, -87.12265 34.99732, -87.01117 34.99516, -87.00001 34.99512, -86.97441 34.99451, -86.97261 34.99461, -86.97024 34.99455, -86.96712 34.9944, -86.86215 34.99196, -86.85505 34.99194, -86.84979 34.99192, -86.84647 34.99186, -86.83637 34.99176, -86.83631 34.99176, -86.82066 34.99176, -86.78365 34.99193, -86.78363 34.99193, -86.7837 34.9334, -86.78397 34.88464, -86.78496 34.83317, -86.78533 34.8058, -86.78539 34.80215, -86.78636 34.72898, -86.78645 34.71817, -86.78693 34.66261, -86.79006 34.55079, -86.8369 34.55619, -86.86012 34.56713, -86.9072 34.57979, -86.97279 34.61334, -86.98027 34.61856, -86.99205 34.6273, -87.00658 34.63411, -87.03532 34.65204, -87.05286 34.6504, -87.10507 34.68604, -87.11946 34.69726, -87.13886 34.7241, -87.17159 34.74286, -87.22277 34.76323, -87.26068 34.75863, -87.2783 34.77356, -87.27108 34.78383)))"
"43","Lowndes",2023-01-11,"Lowndes County","01085","53.4","5196","67.6","6574","56.8","61.7","63.2","81.3","MULTIPOLYGON (((-86.9083 32.22503, -86.81031 32.22475, -86.81045 32.23759, -86.82131 32.23376, -86.84125 32.24199, -86.86394 32.2703, -86.85367 32.28728, -86.82606 32.30596, -86.85051 32.30986, -86.85041 32.32895, -86.81491 32.3408, -86.82092 32.33324, -86.81611 32.30997, -86.79827 32.30863, -86.77316 32.34073, -86.78045 32.3686, -86.77836 32.3946, -86.74998 32.3891, -86.72718 32.4045, -86.7179 32.40281, -86.71903 32.37206, -86.71134 32.36077, -86.68354 32.3534, -86.6556 32.37615, -86.65342 32.39725, -86.618 32.40572, -86.61345 32.39858, -86.61484 32.37427, -86.59533 32.36135, -86.58187 32.37502, -86.57055 32.37501, -86.54254 32.36352, -86.53253 32.33877, -86.49677 32.34444, -86.47448 32.33155, -86.49106 32.30162, -86.4847 32.28449, -86.40877 32.24431, -86.40831 32.20998, -86.40827 32.20898, -86.40628 32.05073, -86.405 31.96377, -86.4482 31.96463, -86.85758 31.96217, -86.85658 32.04835, -86.90696 32.04797, -86.9083 32.22503)))"
"44","Macon",2023-01-11,"Macon County","01087","50.6","9136","62.9","11369","53.1","55.9","56.6","77.5","MULTIPOLYGON (((-86.02301 32.41998, -85.99065 32.43305, -85.99349 32.45151, -85.98526 32.44047, -85.97346 32.45345, -85.95895 32.44113, -85.93178 32.45353, -85.89442 32.44758, -85.88222 32.45499, -85.8727 32.47387, -85.85262 32.47575, -85.8703 32.48147, -85.88615 32.49305, -85.79716 32.49424, -85.79822 32.55885, -85.79859 32.58109, -85.71265 32.58183, -85.70918 32.59578, -85.69585 32.59593, -85.69565 32.58203, -85.66125 32.58233, -85.66105 32.56793, -85.48935 32.49694, -85.43858 32.49709, -85.43714 32.47868, -85.43404 32.40984, -85.43354 32.23465, -85.85622 32.23197, -85.8626 32.23492, -85.87606 32.24634, -85.87787 32.29153, -85.89854 32.30529, -85.89869 32.27499, -85.91929 32.27438, -85.95432 32.30221, -85.95846 32.32348, -85.9691 32.33355, -85.99128 32.3361, -85.99367 32.35791, -86.01458 32.38429, -86.01094 32.40431, -86.02301 32.41998)))"
"45","Madison",2023-01-11,"Madison County","01089","65.4","243742","80","298378","69.2","73.4","74.9","95","MULTIPOLYGON (((-86.78693 34.66261, -86.78645 34.71817, -86.78636 34.72898, -86.78539 34.80215, -86.78533 34.8058, -86.78496 34.83317, -86.78397 34.88464, -86.7837 34.9334, -86.78363 34.99193, -86.67762 34.99207, -86.67673 34.99207, -86.67436 34.992, -86.67085 34.992, -86.65961 34.99179, -86.64139 34.99174, -86.64121 34.99174, -86.60004 34.99124, -86.58896 34.9912, -86.57131 34.99101, -86.57122 34.99101, -86.55586 34.99097, -86.52848 34.99068, -86.51794 34.99068, -86.4678 34.99069, -86.43393 34.99108, -86.3972 34.99166, -86.31876 34.99115, -86.31127 34.9911, -86.30632 34.97492, -86.28937 34.96862, -86.28705 34.95774, -86.25919 34.94537, -86.25697 34.93777, -86.25694 34.92648, -86.27224 34.9241, -86.28172 34.93846, -86.29602 34.94478, -86.31144 34.93483, -86.32624 34.9371, -86.31131 34.91479, -86.32943 34.9014, -86.3513 34.87366, -86.34697 34.85769, -86.32655 34.83132, -86.34354 34.81706, -86.33785 34.76304, -86.34225 34.74431, -86.35812 34.73503, -86.35382 34.62908, -86.32586 34.60959, -86.33134 34.60732, -86.32685 34.5994, -86.30313 34.59263, -86.30308 34.57962, -86.33142 34.57326, -86.32885 34.56524, -86.30665 34.56074, -86.31119 34.53928, -86.3245 34.52914, -86.3302 34.51268, -86.33818 34.5101, -86.35518 34.52349, -86.36973 34.51375, -86.39242 34.51838, -86.38893 34.5002, -86.41245 34.49415, -86.42391 34.47958, -86.45396 34.4838, -86.46891 34.47563, -86.49999 34.48229, -86.53078 34.5004, -86.53175 34.50127, -86.55109 34.5415, -86.55017 34.54596, -86.55354 34.56166, -86.56797 34.57552, -86.59849 34.58211, -86.61417 34.57723, -86.6362 34.5552, -86.66514 34.55209, -86.67656 34.57779, -86.70219 34.589, -86.72172 34.58271, -86.75314 34.55567, -86.79006 34.55079, -86.78693 34.66261)))"
"46","Marengo",2023-01-11,"Marengo County","01091","55.8","10523","68.9","12989","59.4","64.4","66.9","84.8","MULTIPOLYGON (((-88.11834 32.05113, -88.09589 32.06985, -88.08477 32.07082, -88.07061 32.0617, -88.04471 32.08226, -88.0522 32.10177, -88.03581 32.14501, -88.02137 32.14495, -88.00708 32.18531, -88.01254 32.20083, -88.00752 32.21932, -88.01505 32.23494, -88.00945 32.2617, -88.02012 32.27177, -88.01914 32.28524, -88.00422 32.28369, -88.00427 32.29664, -87.9914 32.29462, -87.97567 32.30785, -87.96789 32.29825, -87.94835 32.30409, -87.93676 32.30166, -87.94464 32.28295, -87.93355 32.28237, -87.9297 32.29252, -87.9318 32.29727, -87.93066 32.31057, -87.94197 32.31465, -87.95189 32.32892, -87.97094 32.34435, -87.99386 32.34723, -88.01948 32.37046, -88.04633 32.37709, -88.04232 32.41027, -88.03162 32.43361, -87.99457 32.45524, -87.97506 32.45756, -87.95415 32.47297, -87.94506 32.49125, -87.91367 32.51819, -87.90126 32.52317, -87.85268 32.5152, -87.84457 32.51818, -87.84151 32.52557, -87.85342 32.53209, -87.84384 32.5472, -87.82232 32.54375, -87.82338 32.52044, -87.81256 32.52456, -87.72852 32.52453, -87.72874 32.48092, -87.71055 32.48078, -87.52448 32.48203, -87.52429 32.30729, -87.47308 32.30761, -87.47221 32.26492, -87.51407 32.26599, -87.52327 32.25099, -87.52213 32.13278, -87.624 32.13235, -87.62276 32.00548, -87.66795 32.00216, -87.66777 31.99135, -87.8053 31.99046, -88.07349 31.99018, -88.09209 32.00705, -88.09507 31.99308, -88.11358 32.00624, -88.11743 32.01682, -88.1134 32.04118, -88.11834 32.05113)))"
